id|code|description|typeCode|type
1062|013Butadieno (D7833)-%Molar|Butadieno (D7833)-%Molar|DETE|Determinación
1005|BUTADIENO 1,2|BUTADIENO 1,2|DETE|Determinación
1002|Butadieno 1,3|Butadieno 1,3|DETE|Determinación
1352|Butadieno p/HS (PASA 760)|Butadieno p/HS (PASA 760)|DETE|Determinación
1898|Butadieno ppm p/p (ID3884)|Butadieno ppm p/p (ID3884)|DETE|Determinación
308|Butadieno ppm v/v|Butadieno ppm v/v|DETE|Determinación
1807|Butadieno ppm v/v (ID3884)|Butadieno ppm v/v (ID3884)|DETE|Determinación
1869|Butadieno ppm v/v - Seguridad|Butadieno ppm v/v - Seguridad|DETE|Determinación
1639|Butadieno ppm v/v|Butadieno ppm v/v PE-7E-0186 croma portatil|DETE|Determinación
607|015Butadieno. Medicion (STEL)|Butadieno. Medicion (STEL)|DETE|Determinación
609|015Butadieno. Medicion (TWA)|Butadieno. Medicion (TWA)|DETE|Determinación
293|015Butadieno. Mediciones bateria|Butadieno. Mediciones de bateria|DETE|Determinación
365|013Butadieno.(D7833)|Butadieno.(D7833)|DETE|Determinación
1068|Butanos y mas liviano (% v/v)|Butanos y mas liviano (% v/v)D6729|DETE|Determinación
267|80Butanos y mas livianos.D6729|Butanos y mas livianos.(D6729)|DETE|Determinación
394|01Butanos y mas livianos.(PASA17|Butanos y mas livianos.(PASA176)|DETE|Determinación
268|700Butanos.(D6729)|Butanos.(D6729)|DETE|Determinación
1793|070Buteno-1 (%v/v) RGA|Buteno-1 (%v/v) RGA|DETE|Determinación
1797|100c-Buteno-2 (%v/v) RGA|c-Buteno-2 (%v/v) RGA|DETE|Determinación
1267|011C-C4- (D7833)-%Molar|C-C4- (D7833)-%Molar|DETE|Determinación
86|C.A.L. Fase Acida|C.A.L. Fase Acida|DETE|Determinación
875|C.A.L. Fase Organica Superior|C.A.L. Fase Organica Superior|DETE|Determinación
1057|002C1 (D7833)-%Molar|C1 (D7833)-%Molar|DETE|Determinación
833|C1 (ID3552)|C1 (ID3552)|DETE|Determinación
1932|001C1 D6729 (%p/p)|C1 D6729 (%p/p)|DETE|Determinación
397|002C1+C2 .(D7833)|C1+C2 .(D7833)|DETE|Determinación
49|02C1+C2 .(ID3646)|C1+C2 .(ID3646)|DETE|Determinación
38|002C1.(D7833)|C1.(D7833)|DETE|Determinación
939|002C1.(D7833)|C1.(D7833)|DETE|Determinación
151|01C1.(ID3646)|C1.(ID3646)|DETE|Determinación
374|01C1.(ID3657)|C1.(ID3657)|DETE|Determinación
472|01C1.(PASA907)|C1.(PASA907)|DETE|Determinación
159|03C1.(RGA)|C1.(RGA)|DETE|Determinación
1699|010C10 Serie Homologa|C10 Serie Homologa ppm p/p|DETE|Determinación
1973|096C10= D6729 (%p/p)|C10= D6729 (%p/p)|DETE|Determinación
1832|C10s % p/p|C10s % p/p GC|DETE|Determinación
1700|011C11 Serie Homologa|C11 Serie Homologa ppm p/p|DETE|Determinación
1833|C11s % p/p|C11s % p/p GC|DETE|Determinación
1701|012C12 Serie Homologa|C12 Serie Homologa ppm p/p|DETE|Determinación
1950|038C12+ D6729 (%p/p)|C12+ D6729 (%p/p)|DETE|Determinación
1894|012C12+ Serie Homologa|C12+ Serie Homologa (ppm p/p)|DETE|Determinación
1834|C12s % p/p|C12s % p/p GC|DETE|Determinación
1702|013C13 Serie Homologa|C13 Serie Homologa ppm p/p|DETE|Determinación
1835|C13s % p/p|C13s % p/p GC|DETE|Determinación
1703|014C14 Serie Homologa|C14 Serie Homologa ppm p/p|DETE|Determinación
1896|014C14+ Serie Homologa|C14+ Serie Homologa ppm p/p|DETE|Determinación
1836|C14s % p/p|C14s % p/p GC|DETE|Determinación
1704|015C15 Serie Homologa|C15 Serie Homologa ppm p/p|DETE|Determinación
1837|C15s % p/p|C15s % p/p GC|DETE|Determinación
1705|016C16 Serie Homologa|C16 Serie Homologa ppm p/p|DETE|Determinación
1838|C16s % p/p|C16s % p/p GC|DETE|Determinación
1706|017C17 Serie Homologa|C17 Serie Homologa ppm p/p|DETE|Determinación
1839|C17s % p/p|C17s % p/p GC|DETE|Determinación
1707|018C18 Serie Homologa|C18 Serie Homologa ppm p/p|DETE|Determinación
1840|C18s % p/p|C18s % p/p GC|DETE|Determinación
1708|019C19 Serie Homologa|C19 Serie Homologa ppm p/p|DETE|Determinación
1841|C19s % p/p|C19s % p/p GC|DETE|Determinación
1632|C2 (D6733) % p/p|C2 (D6733) % p/p|DETE|Determinación
1058|003C2 (D7833)-%Molar|C2 (D7833)-%Molar|DETE|Determinación
834|C2 (ID3552)|C2 (ID3552)|DETE|Determinación
1931|002C2 D6729 (%p/p)|C2 D6729 (%p/p)|DETE|Determinación
153|05C2 s. (ID3646)|C2 s. (ID3646)|DETE|Determinación
885|C2+C3 (PASA176)|C2+C3 (PASA176)|DETE|Determinación
395|003C2+liv .(D7833)|C2+liv .(D7833)|DETE|Determinación
1356|004C2- (D7833)|C2- (D7833)|DETE|Determinación
474|05C2- .(PASA907)|C2- .(PASA907)|DETE|Determinación
161|07C2- .(RGA)|C2- .(RGA)|DETE|Determinación
372|03C2- .(PASA902)|C2- .PASA902)|DETE|Determinación
767|030C2.(D6729)|C2.(D6729) % p/p|DETE|Determinación
940|003C2.(D7833)|C2.(D7833)|DETE|Determinación
39|003C2.(D7833)|C2.(D7833)|DETE|Determinación
152|03C2.(ID3646)|C2.(ID3646)|DETE|Determinación
373|03C2.(ID3657)|C2.(ID3657)|DETE|Determinación
371|01C2.(PASA902)|C2.(PASA902)|DETE|Determinación
473|03C2.(PASA907)|C2.(PASA907)|DETE|Determinación
160|05C2.(RGA)|C2.(RGA)|DETE|Determinación
1709|020C20 Serie Homologa|C20 Serie Homologa ppm p/p|DETE|Determinación
1842|C20s % p/p|C20s % p/p GC|DETE|Determinación
1710|021C21 Serie Homologa|C21 Serie Homologa ppm p/p|DETE|Determinación
1843|C21s % p/p|C21s % p/p GC|DETE|Determinación
1711|022C22 Serie Homologa|C22 Serie Homologa ppm p/p|DETE|Determinación
1844|C22s % p/p|C22s % p/p GC|DETE|Determinación
1712|023C23 Serie Homologa|C23 Serie Homologa ppm p/p|DETE|Determinación
1845|C23s % p/p|C23s % p/p GC|DETE|Determinación
1713|024C24 Serie Homologa|C24 Serie Homologa ppm p/p|DETE|Determinación
1846|C24s % p/p|C24s % p/p GC|DETE|Determinación
1714|025C25 Serie Homologa|C25 Serie Homologa ppm p/p|DETE|Determinación
1847|C25s % p/p|C25s % p/p GC|DETE|Determinación
1715|026C26 Serie Homologa|C26 Serie Homologa ppm p/p|DETE|Determinación
1848|C26s % p/p|C26s % p/p GC|DETE|Determinación
1716|027C27 Serie Homologa|C27 Serie Homologa ppm p/p|DETE|Determinación
1849|C27s % p/p|C27s % p/p GC|DETE|Determinación
1717|028C28 Serie Homologa|C28 Serie Homologa ppm p/p|DETE|Determinación
1850|C28s % p/p|C28s % p/p GC|DETE|Determinación
1823|C29 y mas pesados Serie Homolog|C29 y mas pesados Serie Homolog ppm p/p|DETE|Determinación
