id|code|description|departmentId|type
2123276|703 Salida D2-208|703 Salida D2-208|64|
2123277|704 Salida by-pass D2-208|704 Salida by-pass D2-208|64|
2123278|705 Entrada FV-354|705 Entrada FV-354|64|
2123279|706 By-pass FV-354|706 By-pass FV-354|64|
2123280|707 Reguladora FV-354|707 Reguladora FV-354|64|
2123281|708 Salida FV-354|708 Salida FV-354|64|
2123282|709 Entrada FV-351|709 Entrada FV-351|64|
2123283|710 By-pass FV-351|710 By-pass FV-351|64|
2123284|711 Reguladora FV-351|711 Reguladora FV-351|64|
2123285|712 Salida FV-351|712 Salida FV-351|64|
2123286|713 Blq produccion de BzTK 516|713 Blq produccion de BzTK 516|64|
2123290|714 Blq producción de Bz a TK529|714 Blq producción de Bz a TK529|64|
2123291|715 Recirculacion forzada D3-347|715 Recirculacion forzada D3-347|64|
2123292|716 Recirculacion forzada D3-347|716 Recirculacion forzada D3-347|64|
2123293|717 Bloqueo Bz a Tk 516|717 Bloqueo Bz a Tk 516|64|
2123294|718 Bloqueo producción de Bz|718 Bloqueo producción de Bz|64|
2123295|719 Bloqueo alimentacion BZ AEEE|719 Bloqueo alimentacion BZ AEEE|64|
2123297|720 Produccion Bz a tk 530|720 Produccion Bz a tk 530|64|
2123298|721 Bloqueo alimentacion Bz EEE|721 Bloqueo alimentacion Bz EEE|64|
2123299|722 Derivac prod de Bz a Tk 536|722 Derivac prod de Bz a Tk 536|64|
2123300|723 Entrada prod de Bz a TK 536|723 Entrada prod de Bz a TK 536|64|
2123301|724 Entrada produccion Tk 529|724 Entrada produccion Tk 529|64|
2123302|725 Salida Tk 529 a EEE|725 Salida Tk 529 a EEE|64|
2123304|726 Salida Tk 536 a EEE|726 Salida Tk 536 a EEE|64|
2123305|727 Aspiracion normal Tk 529|727 Aspiracion normal Tk 529|64|
